00000511	00000127	00000025
00000511	00000268	00000071
00000512	00000410	00000106
00000513	00000539	00000129
00000514	00000645	00000139
00000515	00000718	00000136
00000516	00000813	00000121
00000517	00000890	00000097
00000519	00000929	00000067
00000520	00000925	00000034
00000522	00000879	00000002
00000524	00000862	-0000026
00000526	00000861	-0000049
00000529	00000817	-0000065
00000531	00000736	-0000073
00000534	00000624	-0000074
00000536	00000495	-0000069
00000539	00000386	-0000059
00000543	00000254	-0000044
00000546	00000112	-0000025
00000549	00000053	-0000006
00000553	00000186	00000012
00000557	00000331	00000027
00000561	00000473	00000039
00000565	00000600	00000047
00000569	00000702	00000050
00000573	00000784	00000048
00000578	00000891	00000042
00000582	00000964	00000034
00000587	00000997	00000025
00000592	00000987	00000015
00000597	00000936	00000005
00000603	00000920	-0000003
00000608	00000913	-0000009
00000614	00000864	-0000014
00000619	00000778	-0000017
00000625	00000664	-0000017
00000631	00000531	-0000014
00000637	00000393	-0000010
00000644	00000262	-0000005
00000650	00000151	00000001
00000657	00000158	00000006
00000663	00000282	00000011
00000670	00000429	00000015
00000677	00000571	00000018
00000684	00000695	00000020
00000691	00000792	00000021
00000698	00000922	00000020
00000706	00001025	00000019
00000713	00001093	00000017
00000721	00001120	00000014
00000729	00001104	00000011
00000736	00001047	00000007
00000744	00001026	00000004
00000752	00001012	00000002
00000760	00000957	00000000
00000768	00000867	-0000001
00000776	00000749	-0000001
00000784	00000617	00000000
00000792	00000481	00000001
00000800	00000355	00000001
00000809	00000261	00000002
00000817	00000316	00000004
00000825	00000409	00000007
00000833	00000549	00000010
00000842	00000689	00000013
00000850	00000824	00000015
00000858	00000968	00000016
00000866	00001094	00000017
00000874	00001192	00000017
00000882	00001252	00000016
00000890	00001270	00000015
00000898	00001246	00000013
00000906	00001182	00000011
00000913	00001156	00000009
00000921	00001134	00000008
00000928	00001071	00000007
00000935	00000974	00000005
00000942	00000852	00000004
00000949	00000717	00000004
00000956	00000582	00000004
00000962	00000458	00000005
00000968	00000407	00000007
00000974	00000468	00000008
00000980	00000565	00000008
00000985	00000690	00000008
00000990	00000832	00000008
00000995	00000978	00000007
00000999	00001116	00000005
00001004	00001233	00000004
00001007	00001320	00000004
00001011	00001367	00000004
00001014	00001373	00000004
00001016	00001335	00000004
00001018	00001258	00000004
00001020	00001246	00000004
00001021	00001211	00000005
00001022	00001137	00000007
00001022	00001029	00000008
00001022	00000899	00000008
00001022	00000757	00000007
00001020	00000617	00000004
00001019	00000492	00000000
00001016	00000449	-0000004
00001013	00000509	-0000008
00001010	00000604	-0000011
00001006	00000724	-0000012
00001001	00000859	-0000012
00000996	00000996	-0000012
00000990	00001121	-0000012
00000983	00001223	-0000011
00000976	00001292	-0000010
00000968	00001321	-0000010
00000959	00001307	-0000010
00000950	00001250	-0000010
